1a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       11101       |    841  |   16    |   11
2   |       01111       |    225  |   22    |   15
3   |       00111       |     49  |   23    |   12
4   |       10101       |    441  |   14    |   28
5   |       01101       |    169  |    9    |   14
6   |       01111       |    225  |    6    |   21
7   |       01010       |    100  |   21    |    5
8   |       00001       |      1  |    4    |   26
9   |       11001       |    625  |   19    |   31
10   |       10111       |    529  |    3    |   24
11   |       01010       |    100  |   10    |   20
12   |       01000       |     64  |   31    |    9
13   |       01111       |    225  |   18    |   29
14   |       00010       |      4  |   29    |   22
15   |       11100       |    784  |   12    |   27
16   |       11111       |    961  |    2    |    2
17   |       10111       |    529  |   30    |   13
18   |       00110       |     36  |   27    |    6
19   |       10011       |    361  |    8    |   30
20   |       01100       |    144  |    5    |   16
21   |       00011       |      9  |    1    |   17
22   |       01011       |    121  |   28    |    8
23   |       11010       |    676  |    7    |   25
24   |       00010       |      4  |   17    |    1
25   |       10001       |    289  |   32    |    3
26   |       00010       |      4  |   13    |   32
27   |       11111       |    961  |   24    |    7
28   |       10000       |    256  |   15    |    4
29   |       00100       |     16  |   20    |   19
30   |       01000       |     64  |   11    |   18
31   |       11101       |    841  |   25    |   10
32   |       11110       |    900  |   26    |   23


15a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       10001       |    289  |   19    |    8
2   |       11010       |    676  |    6    |    9
3   |       00100       |     16  |   11    |   23
4   |       01110       |    196  |   18    |   10
5   |       11000       |    576  |    4    |   30
6   |       11110       |    900  |    8    |    5
7   |       00100       |     16  |    3    |    6
8   |       00110       |     36  |   17    |   22
9   |       01010       |    100  |   20    |    1
10   |       01100       |    144  |   26    |   27
11   |       01010       |    100  |   32    |   13
12   |       11001       |    625  |   24    |    3
13   |       01010       |    100  |   23    |   16
14   |       11010       |    676  |    5    |   20
15   |       01011       |    121  |   12    |   29
16   |       01010       |    100  |    7    |   32
17   |       01011       |    121  |   29    |   14
18   |       10111       |    529  |   22    |   11
19   |       01001       |     81  |   25    |    4
20   |       11010       |    676  |   10    |   21
21   |       01111       |    225  |    1    |    2
22   |       11100       |    784  |   31    |   31
23   |       00111       |     49  |   21    |    7
24   |       10100       |    400  |   14    |   25
25   |       10010       |    324  |   28    |   19
26   |       01110       |    196  |    9    |   18
27   |       01011       |    121  |   15    |   15
28   |       01111       |    225  |   16    |   12
29   |       00100       |     16  |   27    |   28
30   |       10011       |    361  |   13    |   17
31   |       11101       |    841  |    2    |   24
32   |       10010       |    324  |   30    |   26


